"naam","totinv","totpart","rate","sex","age","invited","participant","agec","age1","age2","age3","age4","age5","male","female"
"Beerse",1971,1074,0.544901065449011,"female","65_69",124,84,4,0,0,0,1,0,0,1
"Beerse",1971,1074,0.544901065449011,"male","70_74",108,53,5,0,0,0,0,1,1,0
"Beerse",1971,1074,0.544901065449011,"female","70_74",119,74,5,0,0,0,0,1,0,1
"Beersel",2734,919,0.336137527432334,"male","50_54",456,129,1,1,0,0,0,0,1,0
"Beersel",2734,919,0.336137527432334,"female","50_54",443,116,1,1,0,0,0,0,0,1
"Beersel",2734,919,0.336137527432334,"male","55_59",360,100,2,0,1,0,0,0,1,0
"Beersel",2734,919,0.336137527432334,"female","55_59",351,103,2,0,1,0,0,0,0,1
"Beersel",2734,919,0.336137527432334,"male","60_64",218,85,3,0,0,1,0,0,1,0
"Beersel",2734,919,0.336137527432334,"female","60_64",239,108,3,0,0,1,0,0,0,1
"Beersel",2734,919,0.336137527432334,"male","65_69",175,81,4,0,0,0,1,0,1,0
"Beersel",2734,919,0.336137527432334,"female","65_69",179,72,4,0,0,0,1,0,0,1
"Beersel",2734,919,0.336137527432334,"male","70_74",145,61,5,0,0,0,0,1,1,0
"Beersel",2734,919,0.336137527432334,"female","70_74",168,64,5,0,0,0,0,1,0,1
"Begijnendijk",1279,634,0.495699765441751,"male","50_54",195,68,1,1,0,0,0,0,1,0
"Begijnendijk",1279,634,0.495699765441751,"female","50_54",197,83,1,1,0,0,0,0,0,1
"Begijnendijk",1279,634,0.495699765441751,"male","55_59",178,75,2,0,1,0,0,0,1,0
"Begijnendijk",1279,634,0.495699765441751,"female","55_59",127,53,2,0,1,0,0,0,0,1
"Begijnendijk",1279,634,0.495699765441751,"male","60_64",100,60,3,0,0,1,0,0,1,0
"Begijnendijk",1279,634,0.495699765441751,"female","60_64",140,87,3,0,0,1,0,0,0,1
"Begijnendijk",1279,634,0.495699765441751,"male","65_69",81,54,4,0,0,0,1,0,1,0
"Begijnendijk",1279,634,0.495699765441751,"female","65_69",87,53,4,0,0,0,1,0,0,1
"Begijnendijk",1279,634,0.495699765441751,"male","70_74",86,51,5,0,0,0,0,1,1,0
"Begijnendijk",1279,634,0.495699765441751,"female","70_74",88,50,5,0,0,0,0,1,0,1
"Bekkevoort",813,417,0.512915129151292,"male","50_54",127,49,1,1,0,0,0,0,1,0
"Bekkevoort",813,417,0.512915129151292,"female","50_54",112,56,1,1,0,0,0,0,0,1
"Bekkevoort",813,417,0.512915129151292,"male","55_59",112,45,2,0,1,0,0,0,1,0
"Bekkevoort",813,417,0.512915129151292,"female","55_59",100,43,2,0,1,0,0,0,0,1
"Bekkevoort",813,417,0.512915129151292,"male","60_64",81,54,3,0,0,1,0,0,1,0
"Bekkevoort",813,417,0.512915129151292,"female","60_64",73,38,3,0,0,1,0,0,0,1
"Bekkevoort",813,417,0.512915129151292,"male","65_69",51,33,4,0,0,0,1,0,1,0
"Bekkevoort",813,417,0.512915129151292,"female","65_69",55,34,4,0,0,0,1,0,0,1
"Bekkevoort",813,417,0.512915129151292,"male","70_74",48,26,5,0,0,0,0,1,1,0
"Bekkevoort",813,417,0.512915129151292,"female","70_74",54,39,5,0,0,0,0,1,0,1
"Beringen",4893,2580,0.52728387492336,"male","50_54",806,319,1,1,0,0,0,0,1,0
"Beringen",4893,2580,0.52728387492336,"female","50_54",728,351,1,1,0,0,0,0,0,1
"Beringen",4893,2580,0.52728387492336,"male","55_59",646,259,2,0,1,0,0,0,1,0
"Beringen",4893,2580,0.52728387492336,"female","55_59",557,313,2,0,1,0,0,0,0,1
"Beringen",4893,2580,0.52728387492336,"male","60_64",427,264,3,0,0,1,0,0,1,0
"Beringen",4893,2580,0.52728387492336,"female","60_64",453,279,3,0,0,1,0,0,0,1
"Beringen",4893,2580,0.52728387492336,"male","65_69",311,188,4,0,0,0,1,0,1,0
"Beringen",4893,2580,0.52728387492336,"female","65_69",350,240,4,0,0,0,1,0,0,1
"Beringen",4893,2580,0.52728387492336,"male","70_74",302,187,5,0,0,0,0,1,1,0
"Beringen",4893,2580,0.52728387492336,"female","70_74",313,180,5,0,0,0,0,1,0,1
"Berlaar",1430,760,0.531468531468531,"male","50_54",188,70,1,1,0,0,0,0,1,0
"Berlaar",1430,760,0.531468531468531,"female","50_54",202,98,1,1,0,0,0,0,0,1
"Berlaar",1430,760,0.531468531468531,"male","55_59",201,98,2,0,1,0,0,0,1,0
"Berlaar",1430,760,0.531468531468531,"female","55_59",188,96,2,0,1,0,0,0,0,1
"Berlaar",1430,760,0.531468531468531,"male","60_64",133,77,3,0,0,1,0,0,1,0
"Berlaar",1430,760,0.531468531468531,"female","60_64",144,102,3,0,0,1,0,0,0,1
"Berlaar",1430,760,0.531468531468531,"male","65_69",81,48,4,0,0,0,1,0,1,0
"Berlaar",1430,760,0.531468531468531,"female","65_69",86,59,4,0,0,0,1,0,0,1
