"naam","totinv","totpart","rate","sex","age","invited","participant"
"Bever",252,102,0.404761904761905,"male","65_69",21,9
"Bever",252,102,0.404761904761905,"female","65_69",17,7
"Bever",252,102,0.404761904761905,"male","70_74",13,2
"Bever",252,102,0.404761904761905,"female","70_74",11,6
"Beveren",5651,2997,0.530348610865334,"male","50_54",872,337
"Beveren",5651,2997,0.530348610865334,"female","50_54",792,395
"Beveren",5651,2997,0.530348610865334,"male","55_59",679,296
"Beveren",5651,2997,0.530348610865334,"female","55_59",673,358
"Beveren",5651,2997,0.530348610865334,"male","60_64",473,296
"Beveren",5651,2997,0.530348610865334,"female","60_64",468,301
"Beveren",5651,2997,0.530348610865334,"male","65_69",408,244
"Beveren",5651,2997,0.530348610865334,"female","65_69",438,281
"Beveren",5651,2997,0.530348610865334,"male","70_74",424,247
"Beveren",5651,2997,0.530348610865334,"female","70_74",424,242
"Bierbeek",1173,676,0.576300085251492,"male","50_54",193,85
"Bierbeek",1173,676,0.576300085251492,"female","50_54",141,73
"Bierbeek",1173,676,0.576300085251492,"male","55_59",120,58
"Bierbeek",1173,676,0.576300085251492,"female","55_59",142,79
"Bierbeek",1173,676,0.576300085251492,"male","60_64",129,90
"Bierbeek",1173,676,0.576300085251492,"female","60_64",96,58
"Bierbeek",1173,676,0.576300085251492,"male","65_69",94,66
"Bierbeek",1173,676,0.576300085251492,"female","65_69",76,50
"Bierbeek",1173,676,0.576300085251492,"male","70_74",93,55
"Bierbeek",1173,676,0.576300085251492,"female","70_74",89,62
"Bilzen",3912,2092,0.534764826175869,"male","50_54",556,227
"Bilzen",3912,2092,0.534764826175869,"female","50_54",604,288
"Bilzen",3912,2092,0.534764826175869,"male","55_59",504,218
"Bilzen",3912,2092,0.534764826175869,"female","55_59",483,243
"Bilzen",3912,2092,0.534764826175869,"male","60_64",365,222
"Bilzen",3912,2092,0.534764826175869,"female","60_64",357,230
"Bilzen",3912,2092,0.534764826175869,"male","65_69",267,164
"Bilzen",3912,2092,0.534764826175869,"female","65_69",268,177
"Bilzen",3912,2092,0.534764826175869,"male","70_74",244,148
"Bilzen",3912,2092,0.534764826175869,"female","70_74",264,175
"Blankenberge",2909,1310,0.450326572705397,"male","50_54",356,109
"Blankenberge",2909,1310,0.450326572705397,"female","50_54",274,116
"Blankenberge",2909,1310,0.450326572705397,"male","55_59",337,115
"Blankenberge",2909,1310,0.450326572705397,"female","55_59",325,129
"Blankenberge",2909,1310,0.450326572705397,"male","60_64",261,132
"Blankenberge",2909,1310,0.450326572705397,"female","60_64",284,145
"Blankenberge",2909,1310,0.450326572705397,"male","65_69",267,137
"Blankenberge",2909,1310,0.450326572705397,"female","65_69",269,151
